title,population,operation_level,visiting_status,datetime_of_data
USP COLEMAN II,"1,150",No Longer Available,Not Suspended,2024-02-16 10:25:11 PST
USP COLEMAN II,"1,150",No Longer Available,Not Suspended,2024-02-20 10:20:05 PST
USP COLEMAN II,"1,150",No Longer Available,Not Suspended,2024-02-18 14:50:17 PST
USP COLEMAN II,"1,150",No Longer Available,Not Suspended,2024-02-19 07:57:11 PST
USP COLEMAN II,"1,144",No Longer Available,Not Suspended,2024-02-27 07:10:25 PST
USP COLEMAN II,"1,144",No Longer Available,Not Suspended,2024-02-26 18:22:40 PST
USP COLEMAN II,"1,143",No Longer Available,Not Suspended,2024-03-01 10:18:32 PST
USP COLEMAN II,"1,160",No Longer Available,Not Suspended,2024-02-13 10:37:58 PST
USP COLEMAN II,"1,144",No Longer Available,Not Suspended,2024-02-23 12:37:34 PST
USP COLEMAN II,"1,144",No Longer Available,Not Suspended,2024-02-24 11:33:02 PST
USP COLEMAN II,"1,160",No Longer Available,Not Suspended,2024-02-08 14:08:18 PST
USP COLEMAN II,"1,143",No Longer Available,Not Suspended,2024-03-03 21:06:51 PST
USP COLEMAN II,"1,135",No Longer Available,Not Suspended,2024-03-19 10:04:43 PDT
USP COLEMAN II,"1,172",No Longer Available,Not Suspended,2024-02-07 19:14:03 PST
USP COLEMAN II,"1,135",No Longer Available,Not Suspended,2024-03-21 10:11:11 PDT
USP COLEMAN II,"1,160",No Longer Available,Not Suspended,2024-02-09 10:15:28 PST
USP COLEMAN II,"1,178",No Longer Available,Not Suspended,2024-01-19 10:29:30 PST
USP COLEMAN II,"1,135",No Longer Available,Not Suspended,2024-03-20 10:07:19 PDT
USP COLEMAN II,"1,177",No Longer Available,Not Suspended,2024-02-01 14:07:36 PST
USP COLEMAN II,"1,160",No Longer Available,Not Suspended,2024-02-10 17:46:36 PST
USP COLEMAN II,"1,172",No Longer Available,Not Suspended,2024-02-02 23:00:59 PST
USP COLEMAN II,"1,172",No Longer Available,Not Suspended,2024-02-03 19:30:01 PST
USP COLEMAN II,"1,172",No Longer Available,Not Suspended,2024-02-06 14:21:23 PST
USP COLEMAN II,"1,178",No Longer Available,Not Suspended,2024-01-23 10:13:04 PST
USP COLEMAN II,"1,160",No Longer Available,Not Suspended,2024-02-12 09:24:16 PST
USP COLEMAN II,"1,178",No Longer Available,Not Suspended,2024-01-22 10:11:36 PST
USP COLEMAN II,"1,178",No Longer Available,Not Suspended,2024-01-24 09:06:58 PST
USP COLEMAN II,"1,172",No Longer Available,Not Suspended,2024-02-03 09:24:39 PST
USP COLEMAN II,"1,172",No Longer Available,Not Suspended,2024-02-05 11:21:11 PST
USP COLEMAN II,"1,177",No Longer Available,Not Suspended,2024-01-30 14:14:19 PST
USP COLEMAN II,"1,160",No Longer Available,Not Suspended,2024-02-11 10:58:34 PST
USP COLEMAN II,"1,177",No Longer Available,Not Suspended,2024-01-28 20:25:21 PST
USP COLEMAN II,"1,177",No Longer Available,Not Suspended,2024-01-26 10:17:35 PST
USP COLEMAN II,"1,177",No Longer Available,Not Suspended,2024-01-27 14:42:05 PST
USP COLEMAN II,"1,189",No Longer Available,Not Suspended,2024-01-11 12:15:06 PST
USP COLEMAN II,"1,172",No Longer Available,Not Suspended,2024-02-04 12:38:39 PST
USP COLEMAN II,"1,192",No Longer Available,Not Suspended,2024-01-18 10:19:05 PST
USP COLEMAN II,"1,177",No Longer Available,Not Suspended,2024-01-29 09:48:18 PST
USP COLEMAN II,"1,189",No Longer Available,Not Suspended,2024-01-13 12:49:16 PST
USP COLEMAN II,"1,192",No Longer Available,Not Suspended,2024-01-17 10:15:31 PST
USP COLEMAN II,"1,192",No Longer Available,Not Suspended,2024-01-16 10:17:10 PST
USP COLEMAN II,"1,177",No Longer Available,Not Suspended,2024-01-25 11:36:20 PST
USP COLEMAN II,"1,173",Level 1,Not Suspended,2023-10-22 11:24:56 PDT
USP COLEMAN II,"1,183",Level 1,Not Suspended,2023-09-28 16:10:32 PDT
USP COLEMAN II,"1,182",Level 1,Not Suspended,2023-09-28 06:49:59 PDT
USP COLEMAN II,"1,182",Level 1,Not Suspended,2023-09-27 18:25:13 PDT
USP COLEMAN II,"1,182",Level 1,Not Suspended,2023-09-27 15:46:02 PDT
USP COLEMAN II,"1,154",Level 1,Not Suspended,2023-11-03 16:01:59 PDT
USP COLEMAN II,"1,183",Level 1,Not Suspended,2023-10-02 14:17:49 PDT
USP COLEMAN II,"1,200",Level 1,Not Suspended,2023-12-13 10:49:33 PST
USP COLEMAN II,"1,182",Level 1,Not Suspended,2023-09-27 11:59:52 PDT
USP COLEMAN II,"1,182",Level 1,Not Suspended,2023-09-28 09:59:09 PDT
USP COLEMAN II,"1,188",Level 1,Not Suspended,2023-11-15 09:31:45 PST
USP COLEMAN II,"1,200",Level 1,Not Suspended,2023-12-12 16:31:48 PST
USP COLEMAN II,"1,182",Level 1,Not Suspended,2023-09-27 11:09:29 PDT
USP COLEMAN II,"1,200",Level 1,Not Suspended,2023-12-11 08:48:56 PST
USP COLEMAN II,"1,188",Level 1,Not Suspended,2023-11-12 09:22:08 PST
USP COLEMAN II,"1,192",Level 1,Not Suspended,2023-12-20 09:03:10 PST
USP COLEMAN II,"1,200",Level 1,Not Suspended,2023-12-08 20:47:33 PST
USP COLEMAN II,"1,188",Level 1,Not Suspended,2023-11-13 09:28:45 PST
USP COLEMAN II,"1,192",Level 1,Not Suspended,2023-12-29 11:24:33 PST
USP COLEMAN II,"1,192",Level 1,Not Suspended,2023-12-29 10:42:57 PST
USP COLEMAN II,"1,189",Level 1,Not Suspended,2024-01-08 10:36:31 PST
USP COLEMAN II,"1,189",Level 1,Not Suspended,2024-01-09 10:16:39 PST
USP COLEMAN II,"1,197",Level 1,Suspended,2023-11-21 11:12:25 PST
USP COLEMAN II,"1,192",Level 1,Not Suspended,2023-12-22 08:08:33 PST
USP COLEMAN II,"1,200",Level 1,Not Suspended,2023-12-07 16:52:38 PST
USP COLEMAN II,"1,192",Level 1,Not Suspended,2023-12-28 11:34:36 PST
USP COLEMAN II,"1,198",Level 1,Not Suspended,2024-01-02 10:22:33 PST
USP COLEMAN II,"1,154",Level 1,Not Suspended,2023-11-10 10:40:11 PST
USP COLEMAN II,"1,192",Level 1,Not Suspended,2023-12-18 06:57:50 PST
USP COLEMAN II,"1,189",Level 1,Not Suspended,2023-11-27 12:11:45 PST
USP COLEMAN II,"1,189",Level 1,Not Suspended,2023-11-28 10:22:57 PST
USP COLEMAN II,"1,197",Level 1,Suspended,2023-11-22 09:54:07 PST
USP COLEMAN II,"1,192",Level 1,Not Suspended,2023-12-27 10:12:12 PST
USP COLEMAN II,"1,189",Level 1,Not Suspended,2024-01-05 10:15:58 PST
USP COLEMAN II,"1,189",Level 1,Not Suspended,2024-01-04 10:14:38 PST
USP COLEMAN II,"1,197",Level 1,Not Suspended,2023-11-26 14:48:15 PST
USP COLEMAN II,"1,198",Level 1,Not Suspended,2024-01-03 09:48:55 PST
USP COLEMAN II,"1,189",Level 1,Not Suspended,2024-01-07 18:08:44 PST
USP COLEMAN II,"1,201",Level 1,Not Suspended,2023-12-01 11:24:58 PST
USP COLEMAN II,"1,201",Level 1,Not Suspended,2023-11-30 10:15:47 PST
USP COLEMAN II,"1,201",Level 1,Not Suspended,2023-12-04 14:47:33 PST
USP COLEMAN II,"1,201",Level 1,Not Suspended,2023-12-05 07:32:59 PST
USP COLEMAN II,"1,201",Level 1,Not Suspended,2023-12-03 10:49:51 PST
USP COLEMAN II,"1,182",Level 1,Not Suspended,2023-09-27 10:25:27 PDT
