name,lat,long
FPC ALDERSON,37.7244,-80.668
FCI ALICEVILLE,33.1761,-88.193
FCI ALLENWOOD LOW,41.1275,-76.9219
FCI ALLENWOOD MEDIUM,41.1275,-76.9219
USP ALLENWOOD,41.1325,-76.9252
FCI ASHLAND,38.4401,-82.7037
USP ATLANTA,33.7123,-84.368
USP ATWATER,37.3861,-120.5586
FCI BASTROP,30.1917,-97.3077
FCI BEAUMONT LOW,29.9649,-94.0765
FCI BEAUMONT MEDIUM,29.9649,-94.0765
USP BEAUMONT,29.961,-94.0795
FCI BECKLEY,37.8166,-81.1292
FCI BENNETTSVILLE,34.6725,-79.7204
FCI BERLIN,44.5209,-71.1378
USP BIG SANDY,37.7704,-82.6483
FCI BIG SPRING,32.2253,-101.5085
MDC BROOKLYN,40.6599,-74.0038
FPC BRYAN,30.6784,-96.3607
FCI BUTNER MEDIUM II,36.1438,-78.7995
FCI BUTNER LOW,36.1438,-78.7995
FCI BUTNER MEDIUM I,36.1438,-78.7995
FMC BUTNER,36.1375,-78.8138
USP CANAAN,41.5641,-75.4210
FMC CARSWELL,32.7852,-97.4191
MCC CHICAGO,41.8766,-87.6305
FCI COLEMAN LOW,28.7693,-82.0105
FCI COLEMAN MEDIUM,28.7693,-82.0105
USP COLEMAN II,28.7627,-82.01416
USP COLEMAN I,28.7627,-82.01416
FCI CUMBERLAND,39.597,-78.7543
FCI DANBURY,41.4367,-73.4681
FMC DEVENS,42.5263,-71.6231
FCI DUBLIN,37.7177,-121.8949
FPC DULUTH,46.8313,-92.1958
FCI EDGEFIELD,33.7576,-81.9191
FCI EL RENO,35.5342,-98.0056
FCI ELKTON,40.7724,-80.7049
FCI ENGLEWOOD,39.6411,-105.1054
FCI ESTILL,32.7214,-81.2535
FCI FAIRTON,39.3851,-75.1596
FCI FLORENCE,38.3563,-105.0948
USP FLORENCE ADMAX,38.3563,-105.0948
USP FLORENCE - HIGH,38.3563,-105.0948
FCI FORREST CITY MEDIUM,34.982,-90.8026
FCI FORREST CITY LOW,34.982,-90.8026
FCI FORT DIX,39.9987,-74.6136
FMC FORT WORTH,32.6798,-97.2875
FCI GILMER,38.9155,-80.7846
FCI GREENVILLE,38.8678,-89.4096
MDC GUAYNABO,18.4231,-66.1122
FCI HAZELTON,39.6738,-79.4988
USP HAZELTON,39.6739,-79.4988
FCI HERLONG,40.1509,-120.1659
FDC HONOLULU,21.3333,-157.9279
FDC HOUSTON,29.7583,-95.3607
FCI JESUP,31.5638,-81.9024
FCI LA TUNA,31.9822,-106.5905
USP LEAVENWORTH,39.3304,-94.9364
USP LEE,36.7030,-83.0016
USP LEWISBURG,40.9861,-76.915
FMC LEXINGTON,38.1042,-84.5603
FCI LOMPOC,34.6774,-120.4977
USP LOMPOC,34.6763,-120.5055
FCI LORETTO,40.4961,-78.6214
MDC LOS ANGELES,34.0534,-118.2382
FCI MANCHESTER,37.1794,-83.7895
FCI MARIANNA,30.8267,-85.1886
USP MARION,37.6632,-88.9841
USP MCCREARY,36.6858,-84.388
FCI MCDOWELL,37.4704,-81.5533
FCI MCKEAN,41.7984,-78.687
FCI MEMPHIS,35.1556,-89.8664
FCI MENDOTA,36.7319,-120.3923
FCI MIAMI,25.6173,-80.4117
FDC MIAMI,25.7785,-80.1932
FCI MILAN,42.098,-83.6684
FPC MONTGOMERY,32.3956,-86.3599
FCI MORGANTOWN,39.602,-79.9495
MCC NEW YORK,40.7131,-74.0015
FCI OAKDALE II,30.82834,-92.64131
FCI OAKDALE I,30.82834,-92.64131
FTC OKLAHOMA CITY,35.3908,-97.6163
FCI OTISVILLE,41.4956,-74.5275
FCI OXFORD,43.8659,-89.6492
FCI PEKIN,40.5356,-89.6623
FPC PENSACOLA,30.4153,-87.2145
FCI PETERSBURG MEDIUM,37.3045,-77.3447
FCI PETERSBURG LOW,37.3045,-77.3447
FDC PHILADELPHIA,39.9529,-75.1519
FCI PHOENIX,33.8328,-112.1684
FCI POLLOCK,31.465833,-92.441389
USP POLLOCK,31.4652,-92.4329
FCI RAY BROOK,44.2906,-74.095
FMC ROCHESTER,44.0243,-92.4364
FCI SAFFORD,32.7171,-109.7249
MCC SAN DIEGO,32.7139,-117.1662
FCI SANDSTONE,46.1099,-92.8535
FCI SCHUYLKILL,40.7327,-76.344
FCI SEAGOVILLE,32.6559,-96.568
FDC SEATAC,47.4223,-122.3012
FCI SHERIDAN,45.0840,-123.3816
MCFP SPRINGFIELD,37.1775,-93.3234
FCI TALLADEGA,33.421,-86.1405
FCI TALLAHASSEE,30.4431,-84.2244
FCI TERMINAL ISLAND,33.7283,-118.2683
FCI TERRE HAUTE,39.4157,-87.4513
USP TERRE HAUTE,39.4077,-87.4548
FCI TEXARKANA,33.3764,-94.0898
FCI THOMSON,41.973,-90.1094
FCI THREE RIVERS,28.4446,-98.3224
FCI TUCSON,32.0909,-110.8572
USP TUCSON,32.0847,-110.8653
FCI VICTORVILLE MEDIUM I,34.5653,-117.3675
FCI VICTORVILLE MEDIUM II,34.5653,-117.3675
USP VICTORVILLE,34.5707,-117.3623
FCI WASECA,44.0671,-93.5173
FCI WILLIAMSBURG,33.5887,-79.878
FPC YANKTON,42.8801,-97.3903
FCI YAZOO CITY MEDIUM,32.8868,-90.4325
FCI YAZOO CITY LOW,32.8868,-90.4325
USP YAZOO CITY,32.8909,-90.4435
